LVVDD14B9CD313316;AF484JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B3CD313313;AF485JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD313303;AF486JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD313807;AH703EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B9CD313302;AH712EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B3CD313294;AH714EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD316235;AF503JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B9CD315647;AH672EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD314080;AF519JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B1CD315674;AF520JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD315671;AH673EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD315928;AF527JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD315652;AF528JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD315679;AF531JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B3CD319516;AF430JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B7CD316215;AF433JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD316218;AF436JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B8CD319544;AF438JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD319524;AF444JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B4CD316270;AF451JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD319560;AF453JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B5CD316276;AF454JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B1CD315996;AF461JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B4CD319508;AF463JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B4CD319556;AF464JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B9CD316278;AF471JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD316268;AF472JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B7CD314061;AF351JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD314063;AF361JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B7CD313184;AH557EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD311938;AH563EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD311911;AF367JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B3CD313909;AH558EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B1CD314055;AF375JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B7CD313914;AH567EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B8CD313193;AF402JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B8CD311928;AF404JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B5CD314057;AF409JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD313205;AF416JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14BXCD320159;AF276JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B1CD320177;AF282JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD320110;AF284JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD320160;AF287JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD320172;AF289JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B5CD320103;AH716EA;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B5CD320148;AF293JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B1CD320163;AF294JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B0CD320171;AF295JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14BXCD320081;AF298JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B8CD320161;AF299JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B9CD320184;AF300JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B3CD319564;AF314JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD320107;AF315JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B2CD320138;AF334JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B4CD320139;AF339JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B6CD320143;AF346JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
LVVDD14B7CD320135;AF305JG;A;DCMD9093;2013-04-02;1;2013-04-02;2013-04-02
